N-gramm,Count
sister,105
wish,105
paris,104
money,104
luce,103
thurio,103
nestor,103
near,103
florizel,102
villain,102
prithee,102
far,101
lay,101
between,101
found,101
while,101
cause,101
gentlemen,101
fire,101
simple,101
nerissa,100
fall,100
neither,100
kiss,100
shame,99
lose,99
longaville,99
sent,99
gold,99
ha,98
simonides,98
warrant,98
oliver,98
kill,98
hands,98
yes,98
trinculo,98
knight,97
means,97
talk,97
devil,97
business,97
hermione,97
care,96
power,96
something,96
serve,96
praise,95
helen,95
return,95
sleep,95
virtue,95
widow,95
seen,95
alas,94
sing,94
helicanus,94
knows,94
last,94
beauty,94
merry,93
loves,92
borachio,92
send,92
boult,92
spirit,92
ask,91
quince,91
wise,91
years,91
pity,91
back,91
truly,90
ear,90
ninety-nine,90
watch,90
remember,90
lysimachus,89
save,89
half,89
born,89
earth,89
gave,89
lies,88
rich,88
run,88
ne'er,88
alonso,88
patience,88
because,88
worthy,88
thoughts,87
sword,87
sake,87
read,87
seem,87
cousin,86
yea,86
cry,86
officer,86
knave,86
less,86
count,85
hang,85
trust,85
women,85
further,85
married,84
thyself,84
thaisa,84
tears,84
news,84
knew,84
bound,84
breath,83
sun,83
body,83
justice,83
state,83
known,82
o'er,82
brought,82
mark,81
fault,81
jessica,81
puck,81
wear,81
wonder,81
hard,81
pretty,80
fie,80
comfort,80
each,79
either,79
wind,79
note,79
sit,79
fit,79
joy,79
law,78
air,78
william,78
charge,78
looks,78
alone,77
over,77
goes,77
unless,77
command,77
given,77
mariana,76
ill,76
sport,76
katharine,75
walk,75
draw,75
messenger,75
margaret,75
heavens,75
ho,75
worship,74
fetch,74
dare,74
ferdinand,74
past,74
captain,74
thanks,74
hark,74
worse,74
salarino,73
took,73
oberon,73
foul,73
phebe,73
mercy,72
horse,72
elbow,72
question,72
to-night,72
lov,72
free,72
jew,72
ears,72
vincentio,71
cut,71
dull,71
pleasure,71
touch,71
having,71
certain,71
woo,71
report,71
pistol,71
lucius,70
coming,70
pass,70
suit,70
dog,70
troy,70
change,70
flesh,70
need,70
ready,70
holy,70
moon,69
times,69
sight,69
gives,69
sirrah,69
high,69
confess,69
didst,68
doctor,68
glad,68
s,68
fare,68
next,68
almost,68
become,68
sad,67
fly,67
sin,67
to-day,67
silvius,67
oath,67
happy,67
fisherman,67
hair,67
palace,66
above,66
dream,66
write,66
content,66
new,66
ladies,66
withal,66
pyramus,66
sense,65
tender,65
sworn,65
voice,65
cold,65
perdita,65
bless,65
kate,64
fenton,64
oft,64
spoke,64
age,64
deny,64
eat,64
titania,64
excellent,64
is't,63
morning,63
fashion,63
methinks,63
presently,63
jest,63
ground,63
haste,63
others,63
canst,63
open,62
foot,62
strong,62
appear,62
seems,62
ass,62
troth,62
besides,62
favour,62
doubt,61
soon,61
chain,61
outlaw,61
lest,61
sound,61
begin,61
song,61
deliver,61
nathaniel,61
twenty,61
buy,60
lead,60
met,60
themselves,60
pay,59
soft,59
stands,59
cleon,59
sly,59
merchant,59
late,59
longer,59
grief,58
attendants,58
'twere,58
hot,58
corin,58
proud,58
duty,57
got,57
understand,57
sick,57
spirits,57
