Word,Count
half,89
born,89
lysimachus,89
rich,88
patience,88
run,88
alonso,88
because,88
worthy,88
lies,88
seem,87
thoughts,87
sake,87
sword,87
read,87
cry,86
officer,86
yea,86
less,86
cousin,86
knave,86
trust,85
further,85
women,85
hang,85
count,85
bound,84
tears,84
married,84
knew,84
thyself,84
thaisa,84
news,84
sun,83
justice,83
breath,83
state,83
body,83
brought,82
known,82
hard,81
mark,81
wonder,81
wear,81
puck,81
jessica,81
fault,81
fie,80
pretty,80
comfort,80
fit,79
note,79
joy,79
either,79
wind,79
each,79
sit,79
air,78
law,78
william,78
charge,78
looks,78
command,77
alone,77
given,77
goes,77
over,77
unless,77
mariana,76
ill,76
sport,76
ho,75
heavens,75
katharine,75
margaret,75
walk,75
messenger,75
draw,75
past,74
worship,74
worse,74
captain,74
ferdinand,74
hark,74
fetch,74
dare,74
thanks,74
salarino,73
oberon,73
phebe,73
foul,73
took,73
lov,72
jew,72
free,72
ears,72
horse,72
question,72
elbow,72
mercy,72
certain,71
vincentio,71
pleasure,71
dull,71
pistol,71
touch,71
cut,71
woo,71
having,71
report,71
coming,70
ready,70
change,70
suit,70
flesh,70
dog,70
lucius,70
troy,70
holy,70
need,70
pass,70
gives,69
sirrah,69
confess,69
sight,69
moon,69
high,69
times,69
next,68
s,68
almost,68
become,68
fare,68
glad,68
didst,68
doctor,68
hair,67
fly,67
sad,67
sin,67
oath,67
fisherman,67
happy,67
silvius,67
palace,66
above,66
dream,66
withal,66
pyramus,66
content,66
ladies,66
write,66
new,66
tender,65
cold,65
sense,65
voice,65
perdita,65
sworn,65
bless,65
fenton,64
eat,64
age,64
oft,64
deny,64
kate,64
titania,64
spoke,64
excellent,64
jest,63
morning,63
haste,63
methinks,63
canst,63
presently,63
fashion,63
others,63
ground,63
ass,62
open,62
troth,62
strong,62
appear,62
favour,62
besides,62
foot,62
seems,62
soon,61
deliver,61
nathaniel,61
song,61
sound,61
doubt,61
outlaw,61
chain,61
twenty,61
lest,61
begin,61
themselves,60
lead,60
met,60
buy,60
longer,59
pay,59
cleon,59
late,59
stands,59
sly,59
soft,59
merchant,59
proud,58
grief,58
hot,58
corin,58
attendants,58
white,57
cerimon,57
choose,57
fast,57
spirits,57
understand,57
war,57
jove,57
duty,57
got,57
sick,57
counsel,56
office,56
pedant,56
hate,56
door,55
went,55
folly,55
dinner,55
adieu,55
monster,55
fight,55
arms,55
lack,55
grow,55
straight,55
fine,55
humour,55
fools,55
work,55
lion,55
herself,55
paper,54
marriage,54
often,54
entreat,54
behind,54
promise,54
wherefore,54
already,54
conrade,54
salanio,54
mouth,53
days,53
passion,53
royal,53
gracious,53
ye,53
brook,53
toby,53
offence,53
heavy,53
scorn,53
drink,52
bond,52
morrow,52
just,52
beat,52
side,52
ursula,52
hours,52
needs,52
sorrow,52
melancholy,52
chamber,51
prison,51
dionyza,51
match,51
grave,51
water,51
strike,51
forest,51
foolish,51
measure,51
weep,51
beard,51
anon,50
parts,50
witness,50
bad,50
person,50
course,50
affection,50
antigonus,49
common,49
attend,49
behold,49
pains,49
writ,49
lordship,49
fairy,49
ducats,49
yield,49
curtis,49
hurt,49
town,48
plain,48
point,48
want,48
dance,48
courtier,48
case,48
enemy,48
quick,48
judgment,48
country,48
base,47
speech,47
balthazar,47
learn,47
laugh,47
lips,47
brave,47
going,47
loss,47
blow,47
wherein,47
gobbo,46
lend,46
offer,46
masters,46
chance,46
highness,46
lover,46
niece,46
lives,46
carry,46
tune,46
uncle,46
general,46
tale,45
opinion,45
wouldst,45
study,45
hearts,45
living,45
commend,45
tailor,45
speaks,45
letters,45
black,45
oaths,45
verges,45
ourselves,45
hell,44
win,44
cupid,44
labour,44
manner,44
audrey,44
takes,44
suffer,44
faults,44
brief,44
least,44
knowledge,44
lovers,44
green,44
judge,44
bardolph,44
along,44
thither,44
move,44
fresh,44
bold,43
taken,43
danger,43
shows,43
whole,43
honesty,43
ship,43
goodly,43
whither,43
sorry,43
died,43
fortunes,43
yonder,43
pale,43
valour,43
field,43
action,43
vow,43
hearing,43
