N-gramm,Count
speed launce,49
who is,49
here a,49
the which,49
know the,48
page stage,48
duke stage,48
but you,48
as they,48
of what,48
scene five,48
and we,48
of their,48
good morrow,48
at home,48
sir and,48
have it,48
as if,48
i fear,48
it with,48
ford falstaff,48
or i,47
you see,47
good my,47
aguecheek belch,47
hear me,47
launce speed,47
attendants stage,47
as she,47
duke lucio,47
antonio sebastian,47
julia lucetta,47
lucetta julia,47
those that,47
pardon me,47
take it,46
love to,46
sir toby,46
on your,46
ay and,46
the more,46
he has,46
the day,46
what thou,46
is an,46
and how,46
none of,46
belch aguecheek,46
hath a,46
you with,46
and do,46
no no,46
much as,45
him a,45
thou canst,45
nay i,45
make the,45
a letter,45
on him,45
with this,45
i might,45
the queen,45
come hither,45
should i,45
from her,45
will have,45
what he,45
is his,45
he comes,45
the great,44
not but,44
did you,44
the moon,44
did not,44
come on,44
is there,44
that in,44
good lord,44
had rather,44
is she,44
the old,44
she was,44
your daughter,44
thee and,44
and is,44
i make,44
here in,44
that ever,44
look on,44
am sure,44
by a,44
by his,44
i mean,43
speak with,43
if not,43
me my,43
come in,43
to keep,43
mine eyes,43
i hear,43
valentine proteus,43
falstaff ford,43
we must,43
there be,43
hath not,43
my soul,43
no man,43
be in,43
the better,43
for all,43
that have,43
she shall,42
when the,42
and it,42
if this,42
me your,42
this be,42
my troth,42
angelo isabella,42
he did,42
to go,42
fare you,42
must not,42
when she,42
let her,42
viola olivia,42
you love,42
be your,42
speed valentine,42
you if,42
any man,42
give you,42
will do,42
he not,42
since i,42
no i,42
as we,42
my husband,42
your lordship,42
an ass,42
proteus valentine,42
were a,42
my son,42
sir john,42
and thy,42
you speak,41
a maid,41
tell thee,41
one lord,41
into a,41
tell him,41
them to,41
the forest,41
will make,41
as to,41
better than,41
mistress page,41
a lady,41
thee for,41
hand and,41
had not,41
there no,41
king berowne,41
but as,40
do so,40
my mother,40
your highness,40
it but,40
he were,40
me see,40
is more,40
clown stage,40
with us,40
she did,40
are the,40
duke f,40
the law,40
dir within,40
lucio duke,40
were not,40
call me,40
that your,40
mine honour,40
upon a,40
him but,40
dir how,40
four scene,39
mistress ford,39
take the,39
troilus cressida,39
at a,39
us to,39
man of,39
to bed,39
that would,39
he can,39
lord and,39
me but,39
his wife,39
upon him,39
isabella angelo,39
if they,39
that can,39
and if,39
man is,39
there was,39
more of,39
in him,39
will go,39
hear the,39
one parolles,39
on thee,39
come i,39
on me,39
upon me,39
you had,39
you all,39
the letter,39
olivia viola,39
valentine speed,39
dir the,39
a poor,39
ere i,39
to it,38
i swear,38
thee i,38
take her,38
man i,38
the night,38
or a,38
i faith,38
that all,38
which you,38
anne page,38
it would,38
is now,38
with thy,38
upon his,38
aside to,38
but my,38
thy master,38
the truth,37
well and,37
think i,37
man in,37
to think,37
well as,37
let the,37
by me,37
iachimo posthumus,37
and have,37
a kind,37
sir to,37
let them,37
thee in,37
is here,37
are a,37
and of,37
you as,37
your good,37
told you,37
your hand,37
them and,37
and attendants,37
they were,37
come you,37
but by,37
we may,37
her father,37
the fool,37
two act,37
to us,37
provost duke,37
berowne king,36
from his,36
to tell,36
him with,36
speak to,36
the earth,36
but yet,36
but not,36
him stage,36
they will,36
enter a,36
paulina leontes,36
warrant you,36
through the,36
have seen,36
be with,36
the heavens,36
your love,36
three act,36
love is,36
upon your,36
art a,36
sir that,36
than to,36
marry sir,36
he should,36
but one,36
my mind,36
servant stage,36
master brook,36
have made,36
her i,36
leave to,36
the count,35
me how,35
thou me,35
more to,35
but it,35
time to,35
with that,35
me of,35
the poor,35
the ring,35
why i,35
shall see,35
love with,35
duke provost,35
to their,35
to that,35
you did,35
i told,35
now the,35
that are,35
had a,35
with an,35
you think,35
then to,35
me this,35
it should,35
old man,35
dir page,35
friar francis,35
an hour,35
on her,35
her that,35
therefore i,35
his head,35
on you,35
you you,35
le beau,35
for what,35
see you,35
here i,35
my liege,35
name of,35
upon her,35
ariel prospero,35
one i,35
you but,35
miranda prospero,35
so that,35
up the,34
i thought,34
parolles lafeu,34
which he,34
his name,34
take my,34
not know,34
were i,34
this ring,34
such as,34
to live,34
i came,34
when they,34
then the,34
if that,34
hath made,34
look to,34
there a,34
isabella duke,34
duke isabella,34
me what,34
can be,34
act five,34
an honest,34
her in,34
cressida troilus,34
and say,34
she would,34
what would,34
as my,34
till i,34
love you,34
know my,34
make him,34
it you,34
eph dromio,33
you let,33
speak of,33
say so,33
act four,33
than you,33
they do,33
dir they,33
stephano trinculo,33
ford stage,33
him not,33
and on,33
act one,33
where you,33
and tell,33
not this,33
lafeu parolles,33
of us,33
like an,33
you this,33
be done,33
countess clown,33
what to,33
be to,33
a day,33
posthumus iachimo,33
have to,33
not with,33
shall find,33
how much,33
me if,33
to what,33
and give,33
no other,33
it so,33
should not,33
my dear,33
the next,33
to die,33
this man,33
i in,33
i dare,33
but she,33
act three,33
act two,33
no matter,33
you tell,33
in good,33
no less,32
the wind,32
the ground,32
are all,32
bound to,32
good master,32
you what,32
my cousin,32
one the,32
and they,32
upon this,32
she be,32
for ever,32
fisherman one,32
so far,32
prospero ariel,32
falstaff stage,32
clown autolycus,32
piece of,32
dir what,32
is all,32
none but,32
a wife,32
now my,32
a husband,32
now sir,32
two lord,32
not speak,32
me you,32
when thou,32
on thy,32
know what,32
see a,32
thy life,32
know him,32
have me,32
he a,32
are my,32
to death,32
the one,32
so and,32
but this,32
caliban stephano,32
now is,32
and one,32
dir and,32
sir the,32
look upon,32
so long,32
please your,32
a better,31
this place,31
the good,31
daughter and,31
seem to,31
provost stage,31
can you,31
by gar,31
eph antipholus,31
very well,31
i bring,31
autolycus clown,31
what are,31
clown countess,31
be true,31
my friend,31
it may,31
the jew,31
is thy,31
pisanio imogen,31
what they,31
love thee,31
ay sir,31
faith i,31
my name,31
how many,31
here and,31
away with,31
then you,31
to seek,31
did i,31
get you,31
give thee,31
to love,31
play the,31
sir but,31
not come,31
to call,30
are as,30
thine own,30
a fair,30
way to,30
say he,30
your will,30
i heard,30
i for,30
and leave,30
my will,30
here he,30
that were,30
of an,30
and our,30
if we,30
what shall,30
is true,30
when we,30
my mistress,30
by him,30
her she,30
you give,30
man that,30
prospero miranda,30
leave you,30
and no,30
at all,30
king princess,30
be as,30
so is,30
how to,30
guiderius arviragus,30
even now,30
you now,30
might have,30
for she,30
many a,30
dir you,30
at this,30
on this,30
know that,30
the right,29
not yet,29
are to,29
be it,29
belarius guiderius,29
of any,29
you might,29
malvolio olivia,29
her with,29
sir hugh,29
my hand,29
enter duke,29
dir a,29
at his,29
enough to,29
